# RuneScape950 cache items ID/name list
# Generated UTC: 2026-09-16T23:32:13.260262200Z
# Source cache: C:\Games\950OpenSource\cache
# Index 19; definitions=63414; named=57837; unnamed=5577; errors=0
# Reference table SHA-256: ff1d2e2e9bb3e2a488bd0e475b957bdbea5276625d4489d64cb5618bf8f014c6
# All actual reference-defined IDs are included. <unnamed> means no display name; errors are reported, never guessed.
# Names come from this950 cache. Items resolve cache template names; conditional NPC/object transforms depend on game state.
# UTF-8, tab-separated; literal tabs/newlines inside names are escaped.
ID	Name	Details
0	Dwarf remains	
1	Toolkit	
2	Cannonball	
3	Nulodion's notes	
4	Ammo mould	
5	Instruction manual	
6	Cannon base	
7	Cannon base	noted; base=6
8	Cannon stand	
9	Cannon stand	noted; base=8
10	Cannon barrels	
11	Cannon barrels	noted; base=10
12	Cannon furnace	
13	Cannon furnace	noted; base=12
14	Stones	
15	Holy table napkin	
16	Magic whistle	
17	Grail bell	
18	Magic gold feather	
19	Holy grail	
20	White cog	
21	Black cog	
22	Blue cog	
23	Red cog	
24	Rat poison	
25	Red vine worm	
26	Fishing trophy	
27	Fishing pass	
28	Insect repellent	
29	<unnamed>	
30	Bucket of wax	
31	<unnamed>	
32	Black candle (lit)	
33	White candle (lit)	
34	<unnamed>	
35	Excalibur	
36	White candle	
37	White candle	noted; base=36
38	Black candle	
39	Bronze arrowheads	
40	Iron arrowheads	
41	Steel arrowheads	
42	Mithril arrowheads	
43	Adamant arrowheads	
44	Rune arrowheads	
45	Opal bolt tips	
46	Pearl bolt tips	
47	Barbed bolt tips	
48	Longbow (unstrung)	
49	Longbow (unstrung)	noted; base=48
50	Shortbow (unstrung)	
51	Shortbow (unstrung)	noted; base=50
52	Shaft	
53	Headless shaft	
54	Oak shortbow (unstrung)	
55	Oak shortbow (unstrung)	noted; base=54
56	Oak longbow (unstrung)	
57	Oak longbow (unstrung)	noted; base=56
58	Willow longbow (unstrung)	
59	Willow longbow (unstrung)	noted; base=58
60	Willow shortbow (unstrung)	
61	Willow shortbow (unstrung)	noted; base=60
62	Maple longbow (unstrung)	
63	Maple longbow (unstrung)	noted; base=62
64	Maple shortbow (unstrung)	
65	Maple shortbow (unstrung)	noted; base=64
66	Yew longbow (unstrung)	
67	Yew longbow (unstrung)	noted; base=66
68	Yew shortbow (unstrung)	
69	Yew shortbow (unstrung)	noted; base=68
70	Magic longbow (unstrung)	
71	Magic longbow (unstrung)	noted; base=70
72	Magic shortbow (unstrung)	
73	Magic shortbow (unstrung)	noted; base=72
74	Khazard helmet	
75	Khazard armour	
76	Khazard cell keys	
77	Khali brew	
78	Ice arrows	
79	<unnamed>	
80	<unnamed>	
81	<unnamed>	
82	<unnamed>	
83	Lever	
84	Staff of Armadyl	
85	Shiny key	
86	Pendant of Lucien	
87	Armadyl pendant	
88	Boots of lightness	
89	Boots of lightness	
90	Child's blanket	
91	Guam potion (unfinished)	
92	Guam potion (unfinished)	noted; base=91
93	Marrentill potion (unfinished)	
94	Marrentill potion (unfinished)	noted; base=93
95	Tarromin potion (unfinished)	
96	Tarromin potion (unfinished)	noted; base=95
97	Harralander potion (unfinished)	
98	Harralander potion (unfinished)	noted; base=97
99	Ranarr potion (unfinished)	
100	Ranarr potion (unfinished)	noted; base=99
101	Irit potion (unfinished)	
102	Irit potion (unfinished)	noted; base=101
103	Avantoe potion (unfinished)	
104	Avantoe potion (unfinished)	noted; base=103
105	Kwuarm potion (unfinished)	
106	Kwuarm potion (unfinished)	noted; base=105
107	Cadantine potion (unfinished)	
108	Cadantine potion (unfinished)	noted; base=107
109	Dwarf weed potion (unfinished)	
110	Dwarf weed potion (unfinished)	noted; base=109
111	Torstol potion (unfinished)	
112	Torstol potion (unfinished)	noted; base=111
113	Strength potion (4)	
114	Strength potion (4)	noted; base=113
115	Strength potion (3)	
116	Strength potion (3)	noted; base=115
117	Strength potion (2)	
118	Strength potion (2)	noted; base=117
119	Strength potion (1)	
120	Strength potion (1)	noted; base=119
121	Attack potion (3)	
122	Attack potion (3)	noted; base=121
