name947,opcode947,candidate950_order,wire_length,sequence_block_length,candidate950_shape,shape_score,independent_agreement,payload_verified
,0,99,-1,32,99,0.75,False,False
,1,126,3,5,126,0.6,False,False
,2,115,-2,18,115,0.97826,True,False
,3,6,1,83,6,0.92308,True,False
,4,56,4,83,56,0.46667,False,False
,5,50,-2,18,50,0.79602,False,False
,6,88,-1,83,,,False,False
,7,89,-1,83,89,0.94286,True,False
IF_OPENSUB,8,100,23,83,100,0.43103,False,False
,10,79,3,18,79,0.64463,False,False
,11,61,-2,18,61,0.96341,True,False
,12,80,-2,2,80,0.875,True,False
,13,90,6,83,90,0.33333,False,False
,14,85,5,32,67,0.66038,False,False
,15,81,-2,17,81,0.57851,False,False
,16,101,4,18,101,0.88889,False,False
,17,127,8,83,127,0.3354,False,False
,18,2,3,17,2,0.61807,False,False
,19,40,1,18,,,False,False
,20,,7,,75,0.05797,False,False
,21,60,-1,83,60,0.95652,True,False
,22,27,6,83,27,0.30909,False,False
,23,53,4,83,53,0.37255,False,False
,24,123,-1,83,123,0.96694,True,False
,25,112,0,17,112,0.92308,True,False
,26,52,6,83,27,0.35593,False,False
PLAYER_INFO,27,36,-2,32,36,0.97619,True,False
,28,29,-2,18,29,0.90909,True,False
,29,20,3,18,20,0.72,False,False
,30,10,-2,18,10,1.0,True,False
,31,86,-2,83,86,1.0,True,False
,32,19,10,83,19,0.43662,False,False
,33,69,4,18,69,0.41206,False,False
,34,71,10,18,71,0.464,False,False
,35,24,12,18,24,0.27692,False,False
,36,103,28,9,103,1.0,True,False
,37,26,2,17,26,0.78667,False,False
,38,,5,,105,0.08247,False,False
,39,55,-1,83,55,0.97521,True,False
,40,94,19,83,94,0.27907,False,False
,41,104,-1,17,104,0.66667,False,False
,42,,3,,189,0.2619,False,False
,43,113,0,83,113,0.97895,True,False
,44,83,6,32,83,0.6015,False,False
,45,78,-2,83,78,0.95652,True,False
,46,18,-2,83,18,0.86957,True,False
,47,114,20,17,114,1.0,True,False
,48,23,0,18,23,0.73913,False,False
,49,124,0,32,124,0.72727,False,False
,50,28,3,18,28,0.58228,False,False
,51,75,7,17,75,0.68362,False,False
,52,31,2,83,,,False,False
,53,41,8,18,47,0.71667,False,False
,54,12,-1,18,12,0.88333,True,False
,55,87,6,5,87,0.70588,False,False
,56,164,10,6,164,0.58472,False,False
,57,96,3,17,,,False,False
,58,22,-1,83,22,0.95652,True,False
,59,0,4,32,,,False,False
,60,,7,,75,0.05323,False,False
,61,46,1,83,46,0.91667,True,False
,62,14,11,17,14,0.95882,True,False
,63,125,-2,18,125,0.95699,True,False
,64,39,8,18,39,0.38235,False,False
,65,93,0,18,,,False,False
,66,92,6,17,92,0.57944,False,False
,67,30,-1,17,30,0.56911,False,False
,68,16,6,83,16,0.96364,True,False
,69,9,-2,18,9,0.79265,False,False
,70,76,0,83,76,0.9,True,False
,71,82,6,18,82,0.42697,False,False
,72,105,5,83,105,0.73333,False,False
,73,77,-1,83,77,0.9845,True,False
,74,65,8,18,47,0.6963,False,False
,75,54,10,83,19,0.43662,False,False
,76,,10,,37,0.22053,False,False
,77,32,1,32,,,False,False
,78,98,14,18,98,0.96721,True,False
,79,11,-1,17,11,0.61491,False,False
,80,72,0,83,72,0.76471,False,False
,81,38,4,18,101,0.87302,False,False
,82,43,-1,83,43,0.98947,True,False
,83,34,-1,18,34,1.0,False,False
,84,64,-2,18,64,0.87097,True,False
,85,45,8,18,,,False,False
,86,5,-2,83,5,0.47244,False,False
,87,107,5,83,107,0.47059,False,False
,88,68,10,32,37,0.48193,False,False
,89,106,0,83,106,0.9,True,False
REBUILD_NORMAL,90,63,-2,83,63,0.5595,False,False
,91,,35,,,,False,False
,92,47,8,18,47,0.96721,True,False
,93,110,10,83,110,0.40462,False,False
IF_OPENTOP,94,1,19,83,1,0.625,False,False
,95,97,10,83,97,0.45098,False,False
,96,44,8,83,65,0.33588,False,False
,97,13,25,83,13,0.44248,False,False
,98,118,10,18,118,0.34595,False,False
,99,8,-1,17,8,0.57143,False,False
,100,37,10,18,37,0.52761,False,False
,101,15,-2,83,15,0.97857,True,False
,102,3,-2,18,3,1.0,True,False
IF_SETHIDE,103,67,5,18,85,0.66038,False,False
,104,66,-2,18,66,0.88333,True,False
,105,33,-1,83,33,0.98489,True,False
,106,59,10,18,59,0.5122,False,False
,107,42,25,83,13,0.52252,False,False
,108,7,2,9,,,False,False
,109,58,-2,18,58,0.97872,True,False
,110,,29,,196,0.09207,False,False
,111,4,6,18,4,0.61039,False,False
,112,119,6,5,119,0.44737,False,False
,113,73,1,83,73,0.88,True,False
,114,62,2,83,,,False,False
,115,48,3,5,28,0.52381,False,False
,116,21,1,9,,,False,False
,117,111,32,83,111,0.53204,False,False
,118,17,25,83,17,0.16054,False,False
,119,120,-1,83,120,0.98947,True,False
,120,108,0,17,108,0.85714,False,False
RUNCLIENTSCRIPT,121,35,-2,83,50,0.10297,False,False
,122,25,8,18,47,0.6963,False,False
,123,122,8,32,65,0.42553,False,False
,124,117,12,83,117,0.43077,False,False
,125,121,-1,83,121,0.98047,True,False
,126,49,-2,17,49,0.78205,False,False
,127,95,11,83,95,0.33333,False,False
,128,215,6,83,215,0.98214,True,False
,129,175,-1,83,175,0.95833,True,False
,130,161,0,83,161,0.90909,True,False
,131,174,3,18,28,0.37143,False,False
,132,133,4,9,,,False,False
,133,149,2,83,146,0.94444,False,False
,134,140,-2,83,,,False,False
,135,189,3,18,189,0.45545,False,False
,136,168,9,32,150,0.31148,False,False
,137,187,8,83,187,0.35088,False,False
,138,192,1,32,,,False,False
,139,172,-2,83,,,False,False
,140,176,5,18,176,0.91379,True,False
,141,207,5,18,207,0.97059,False,False
,142,136,0,17,136,0.96,True,False
,143,128,1,32,,,False,False
,144,145,3,9,,,False,False
,145,188,14,6,188,0.96296,True,False
,146,147,-1,32,147,1.0,False,False
,147,202,0,32,202,0.80687,False,False
,148,212,9,2,212,0.48438,False,False
,149,171,17,83,171,0.93976,True,False
,150,152,5,32,67,0.64151,False,False
,151,199,-1,83,199,0.9863,True,False
,152,153,4,83,153,0.44828,False,False
,153,219,4,83,153,0.44828,False,False
,154,195,1,9,,,False,False
,155,156,1,32,,,False,False
,156,137,1,32,,,False,False
,157,139,2,32,139,0.9375,False,False
,158,143,12,83,143,0.35526,False,False
WORLDLIST_FETCH_REPLY,159,129,-2,32,129,0.875,True,False
,160,193,3,18,193,0.41509,False,False
,161,200,10,5,200,0.81132,False,False
,162,132,2,83,,,False,False
,163,151,2,18,151,0.8024,False,False
,164,221,1,32,,,False,False
,165,211,4,83,211,0.9697,True,False
,166,177,-2,32,,,False,False
,167,144,-1,6,144,0.99459,True,False
,168,146,2,83,146,0.94444,False,False
,169,205,2,32,205,0.5625,False,False
,170,165,10,18,165,0.55056,False,False
,171,141,8,32,141,0.96429,True,False
,172,185,-2,18,185,0.96429,True,False
,173,210,-2,83,222,0.78049,False,False
,174,182,1,9,182,0.98,True,False
,175,138,6,18,138,0.37838,False,False
,176,162,-2,83,162,1.0,True,False
,177,222,-2,83,140,0.63889,False,False
,178,166,-2,9,166,0.97674,True,False
,179,148,-1,83,148,0.97315,True,False
,180,208,-2,18,208,0.99454,True,False
,181,217,6,83,217,0.97561,True,False
,182,167,5,83,167,0.46465,False,False
,183,155,4,83,155,0.96667,True,False
,184,201,4,83,201,0.44118,False,False
,185,194,1,18,194,0.94444,True,False
,186,220,-2,32,220,0.9881,True,False
,187,204,-1,32,204,1.0,False,False
,188,130,-2,18,130,1.0,True,False
,189,180,3,83,203,0.96429,False,False
,190,197,15,83,173,0.04,False,False
,191,218,2,18,218,0.69767,False,False
,192,196,29,6,196,0.99554,True,False
,193,213,5,18,213,0.70588,False,False
,194,186,3,83,186,0.90141,True,False
SERVER_TICK_END,195,160,0,83,160,0.92308,True,False
,196,154,21,17,154,0.99412,True,False
,197,181,5,6,181,0.6875,False,False
,198,190,8,32,190,0.57767,False,False
,199,169,28,6,169,0.99524,True,False
,200,134,-1,32,134,0.98667,True,False
,201,157,3,18,157,0.39286,False,False
,202,203,3,83,203,0.47619,False,False
,203,179,4,83,179,0.82353,False,False
,204,206,3,83,203,0.5,False,False
,205,142,-2,83,210,0.86885,False,False
,206,198,33,83,198,0.36674,False,False
,207,163,-2,32,163,0.95652,True,False
,208,,14,,216,0.10405,False,False
,209,214,0,32,214,0.91667,True,False
,210,150,9,32,150,0.37705,False,False
,211,209,-1,83,209,0.97183,True,False
,212,,-2,,142,0.41727,False,False
,213,178,1,9,,,False,False
,214,170,-1,18,170,1.0,False,False
,215,191,6,18,191,0.36585,False,False
NO_TIMEOUT,216,183,0,32,,,False,False
,217,184,1,32,,,False,False
